Team name,Best score
AfricanCommunity,4.977632664232968
Armstrong,4.87
Avermaert,4.74
BIKES FINDERS,6.076666666666667
DataScientist2017,5.756666666666667
Dream Team,4.640266666666673
Four and one,4.45
GMMerckx,4.706091376666668
H2O,4.93
JMEG,5.981138200799901
KAMEHAMEHA,6.123333333333333
LA ROUE ARRIÈRE,4.711600488605139
Le Gruppetto,3.2229284855662748
Les Grosses Données,5.62947781887139
Les Pédales,5.492804691024131
Louison Bobet,3.816666666666667
MoAx,10.946772841269729
Mr Nobody,3.94
NSS,5.2957133684308015
 ,6.246666666666667
Oh l'équipe,3.953333333333333
OpenBikes,3.73651042834827
Outliers,7.926666666666667
Pedalo,4.755557911517161
PrédiX,4.523916666666767
RYJA Team,6.026666666666666
Ravenclaw,4.05
TEAM NNBJ,8.243333333333334
TEAM_SKY,6.123333333333333
TSE-BigData,4.754570707888593
TheCrazyInsaneFlyingMonkeySpaceInvaders,5.0926283407786865
Tricycles,4.24
Ul-Team,5.374689402650746
Velouse,5.666666666666667
ZiZou98 <3,4.596666666666667
test,4.755557911517161
zoomzoom,6.123333333333333
